path,label
../data/songs/0/0.mp3,0
../data/songs/0/1.mp3,0
../data/songs/0/2.mp3,0
../data/songs/0/3.mp3,0
../data/songs/0/4.mp3,0
../data/songs/0/5.mp3,0
../data/songs/0/6.mp3,0
../data/songs/0/7.mp3,0
../data/songs/0/8.mp3,0
../data/songs/0/9.mp3,0
../data/songs/0/10.mp3,0
../data/songs/0/11.mp3,0
../data/songs/0/12.mp3,0
../data/songs/0/13.mp3,0
../data/songs/0/14.mp3,0
../data/songs/0/15.mp3,0
../data/songs/0/16.mp3,0
../data/songs/0/17.mp3,0
../data/songs/0/18.mp3,0
../data/songs/0/19.mp3,0
../data/songs/0/20.mp3,0
../data/songs/0/21.mp3,0
../data/songs/1/0.mp3,1
../data/songs/1/1.mp3,1
../data/songs/1/2.mp3,1
../data/songs/1/3.mp3,1
../data/songs/1/4.mp3,1
../data/songs/1/5.mp3,1
../data/songs/1/6.mp3,1
../data/songs/1/7.mp3,1
../data/songs/1/8.mp3,1
../data/songs/1/9.mp3,1
../data/songs/1/10.mp3,1
../data/songs/1/11.mp3,1
../data/songs/1/12.mp3,1
../data/songs/1/13.mp3,1
../data/songs/1/14.mp3,1
../data/songs/1/15.mp3,1
../data/songs/1/16.mp3,1
../data/songs/1/17.mp3,1
../data/songs/1/18.mp3,1
../data/songs/1/19.mp3,1
../data/songs/1/20.mp3,1
../data/songs/1/21.mp3,1
../data/songs/1/22.mp3,1
../data/songs/2/0.mp3,2
../data/songs/2/1.mp3,2
../data/songs/2/2.mp3,2
../data/songs/2/3.mp3,2
../data/songs/2/4.mp3,2
../data/songs/2/5.mp3,2
../data/songs/2/6.mp3,2
../data/songs/2/7.mp3,2
../data/songs/2/8.mp3,2
../data/songs/2/9.mp3,2
../data/songs/2/10.mp3,2
../data/songs/2/11.mp3,2
../data/songs/2/12.mp3,2
../data/songs/2/13.mp3,2
../data/songs/2/14.mp3,2
../data/songs/2/15.mp3,2
../data/songs/2/16.mp3,2
../data/songs/2/17.mp3,2
../data/songs/2/18.mp3,2
../data/songs/2/19.mp3,2
../data/songs/3/0.mp3,3
../data/songs/3/1.mp3,3
../data/songs/3/2.mp3,3
